c2h2               1   265.300     3.721     0.000     0.000     2.500 ! nmm
c2h                1   265.300     3.721     0.000     0.000     2.500 ! nmm
ch3cho             2   436.000     3.970     2.5       0.000     2.000 ! rpd
ch3co              2   436.000     3.970     2.5       0.000     2.000 ! ch3cho
ch2cho             2   436.000     3.970     0.000     0.000     2.000
ch2co              2   436.000     3.970     0.000     0.000     2.000
hcco               2   150.000     2.500     0.000     0.000     1.000 ! *
hccoh              2   436.000     3.970     0.000     0.000     2.000
ch3co3h            2   514.0       5.007     1.3       0.0       1.0 !   ch3co2h
ch3co3             2   514.0       5.007     1.3       0.0       1.0 !   ch3co2h
ch3co2             2   514.0       5.007     1.3       0.0       1.0 !   ch3co2h
c2h5oh             2   470.600     4.410     0.000     0.000     1.500 ! nmm
c2h5o              2   470.600     4.410     0.000     0.000     1.500 ! nmm
pc2h4oh            2   470.600     4.410     0.000     0.000     1.500 ! nmm
sc2h4oh            2   470.600     4.410     0.000     0.000     1.500 ! nmm
o2c2h4oh           2   510.5       4.762     2.2       0.0       1.5   ! hoc2h4oh
c2h5o2h            2   470.600     4.410     0.000     0.000     1.500 ! c2h5oh
c2h5o2             2   470.600     4.410     0.000     0.000     1.500 ! c2h5o
c2h4o2h            2   470.600     4.410     0.000     0.000     1.500 ! c2h5oh
c2h4o1-2           2   387.3       4.349     1.9       0.0       1.0 !   wjp
c2h3o1-2           2   387.3       4.349     1.9       0.0       1.0 !   c2h4o
ch3coch3           2   435.500     4.860     2.9       0.000     1.000 ! nmm,wjp
ch3coch2           2   435.500     4.860     2.9       0.000     1.000 ! ch3coch3
ch3coch2o2         2   435.500     4.860     2.9       0.000     1.000 ! ch3coch3
ch3coch2o2h        2   435.500     4.860     2.9       0.000     1.000 ! ch3coch3
ch3coch2o          2   435.500     4.860     2.9       0.000     1.000 ! ch3coch3
c2h3cho            2   428.8       4.958     2.9       0.0       1.0 !   wjp
c2h3co             2   443.200     4.120     0.000     0.000     1.000 ! nmm
c2h5cho            2   435.2       4.662     2.7       0.0       1.0 !   wjp
c2h5co             2   424.600     4.820     0.000     0.000     1.000 ! nmm
ch3och3            2   395.0       4.037     1.3       0.0       1.0   ! sve,rpd
ch3och2            2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
ch3och2o2          2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
ch2och2o2h         2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
ch3och2o2h         2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
ch3och2o           2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
o2ch2och2o2h       2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
ho2ch2ocho         2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
och2ocho           2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
hoch2oco           2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
ch3ocho            2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
ch3oco             2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
ch2ocho            2   395.0       4.037     1.3       0.0       1.0   ! ch3och3
c3h8               2   303.400     4.810     0.000     0.000     1.000 ! nmm
ic3h7              2   303.400     4.810     0.000     0.000     1.000 ! nmm
nc3h7              2   303.400     4.810     0.000     0.000     1.000 ! nmm
c3h6               2   307.800     4.140     0.000     0.000     1.000 ! nmm
c3h5-a             2   316.000     4.220     0.000     0.000     1.000
c3h5-s             2   316.000     4.220     0.000     0.000     1.000
c3h5-t             2   316.000     4.220     0.000     0.000     1.000
c3h4-a             1   324.800     4.290     0.000     0.000     1.000 ! nmm
c3h4-p             1   324.800     4.290     0.000     0.000     1.000 ! nmm
c3h3               1   324.800     4.290     0.000     0.000     1.000 ! nmm
c3h2               2   209.000     4.100     0.000     0.000     1.000 ! *
c3h5o              2   411.000     4.820     0.000     0.000     1.000 ! nmm
c3h6ooh1-2         2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3h6ooh1-3         2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3h6ooh2-1         2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3h6ooh2-2         2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3h6ooh1-2o2       2   454.0       5.413     3.3       0.000     1.000 ! c2h5coch3
c3h6ooh1-3o2       2   454.0       5.413     3.3       0.000     1.000 ! c2h5coch3
c3h6ooh2-1o2       2   454.0       5.413     3.3       0.000     1.000 ! c2h5coch3
nc3h7o2h           2   487.900     4.820     0.000     0.000     1.000 ! nmm
ic3h7o2h           2   487.900     4.820     0.000     0.000     1.000 ! nmm
nc3h7o2            2   487.900     4.820     0.000     0.000     1.000 ! nmm
ic3h7o2            2   487.900     4.820     0.000     0.000     1.000 ! nmm
nc3h7o             2   481.5       4.997     1.7       0.0       1.0 !   wjp
ic3h7o             2   459.5       5.036     1.7       0.0       1.0 !   wjp
c3h6o1-2           2   403.6       4.968     2.0       0.0       1.0 !   wjp
c3h6o1-3           2   403.6       4.968     2.0       0.0       1.0 !   wjp
c3ket12            2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3ket13            2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3ket21            2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3h51-2,3ooh       2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3h52-1,3ooh       2   487.900     4.820     0.000     0.000     1.000 ! nmm
c3h6oh             2   487.900     4.820     0.000     0.000     1.000 ! nmm
hoc3h6o2           2   487.900     4.820     0.000     0.000     1.000 ! nmm
ch3chco            2   443.200     4.120     0.000     0.000     1.000 ! nmm
ac3h5ooh           2   487.900     4.820     0.000     0.000     1.000 ! nmm
c2h3ooh            2   470.600     4.410     0.000     0.000     1.500 ! c2h5oh
